mysql> SELECT birthday, firstName, lastName FROM Entry
    -> WHERE HOUR(birthday) BETWEEN "20" AND  "21"
    -> AND birthday NOT LIKE "%-02-%";
+---------------------+-------------+-------------+
| birthday            | firstName   | lastName    |
+---------------------+-------------+-------------+
| 1985-09-18 21:04:50 | Jaquelyn    | Black       |
| 1969-10-01 21:51:47 | Gregory     | York        |
| 1989-03-10 20:45:05 | Ima         | Manning     |
| 1973-03-30 20:52:45 | Ivana       | Wong        |
| 1952-01-05 21:50:56 | Fatima      | Cummings    |
| 1961-01-08 21:51:08 | Merrill     | Christian   |
| 1956-11-23 20:33:40 | Jason       | Medina      |
| 1971-05-25 21:51:03 | Wing        | Hampton     |
| 1960-03-16 20:03:52 | Elijah      | Espinoza    |
| 1984-04-24 20:48:15 | Malachi     | Hamilton    |
| 1998-08-22 20:10:21 | Harrison    | English     |
| 1990-07-14 20:13:17 | Wayne       | Gardner     |
| 1947-12-21 21:35:53 | Genevieve   | Wynn        |
| 1962-01-19 20:45:35 | Devin       | Bishop      |
| 1952-05-16 21:46:13 | Hunter      | Mills       |
| 1992-07-21 21:36:52 | Aileen      | Watts       |
| 1949-03-09 20:39:39 | Hayes       | Johnson     |
| 1963-06-22 20:30:09 | Macy        | Preston     |
| 1946-12-29 21:53:30 | Adrienne    | Good        |
| 1958-01-21 21:38:37 | Paula       | Wooten      |
| 1985-05-12 20:01:34 | Justina     | Frank       |
| 1962-11-07 20:08:58 | Willa       | Henson      |
| 1966-10-19 20:26:28 | Elton       | Head        |
| 1954-12-24 21:13:37 | Blaze       | Kinney      |
| 1946-10-02 20:51:20 | Ross        | Schroeder   |
| 1963-10-04 21:23:24 | Orli        | Franklin    |
| 1979-09-24 20:56:56 | Joan        | Reese       |
| 1951-06-23 21:33:10 | Dorian      | Sharp       |
| 1975-09-05 21:15:35 | Echo        | Wiley       |
| 1950-08-10 20:23:47 | Kylynn      | Baxter      |
| 1992-09-21 21:13:09 | Carolyn     | Warner      |
| 1964-08-05 20:10:04 | Gage        | Mitchell    |
| 1984-10-17 20:03:30 | Avye        | Potts       |
| 1998-11-02 21:16:00 | Miranda     | Sandoval    |
| 1986-12-23 20:11:06 | Lynn        | Saunders    |
| 1966-05-21 21:24:04 | Lucius      | Cobb        |
| 1981-09-24 20:05:13 | Fleur       | Guthrie     |
| 1953-11-08 21:25:53 | Macon       | Mullen      |
| 1952-05-18 20:26:05 | Branden     | Fry         |
| 1966-12-06 21:09:47 | Rhiannon    | Ratliff     |
| 1978-09-28 20:08:29 | Nathaniel   | Humphrey    |
| 1948-06-05 21:28:43 | Lara        | Allen       |
| 1984-06-02 21:55:27 | Gay         | Silva       |
| 1955-06-01 20:27:54 | Hanna       | Melendez    |
| 1988-07-06 21:31:54 | Axel        | Shepherd    |
| 1992-09-18 21:39:39 | Camilla     | Lawson      |
| 1956-03-26 21:23:15 | Roary       | Rogers      |
| 1979-01-29 20:34:48 | Harrison    | Odom        |
| 1965-08-20 21:30:51 | Clayton     | Bean        |
| 1950-08-13 21:29:13 | Wesley      | Farmer      |
| 1961-09-15 20:37:29 | Conan       | Mullen      |
| 1977-12-21 21:18:24 | Carol       | Haley       |
| 1967-06-25 21:33:54 | Moana       | Silva       |
| 1970-03-19 20:11:29 | Gisela      | Mooney      |
| 1965-10-28 20:07:12 | Fleur       | Lancaster   |
| 2000-03-28 20:50:47 | Lois        | Roberson    |
| 1996-08-21 21:06:04 | Lilah       | Phillips    |
| 1978-12-12 21:49:01 | Daryl       | Foreman     |
| 1969-06-15 20:00:50 | Reuben      | Henderson   |
| 1988-12-13 21:39:41 | Adara       | Bass        |
| 1951-11-15 21:33:40 | Herrod      | Horn        |
| 1967-12-22 20:04:23 | Aladdin     | Adkins      |
| 1954-07-26 20:41:53 | Stella      | Puckett     |
| 1949-03-06 20:11:11 | Kibo        | Alston      |
| 1957-04-09 21:47:33 | Zelda       | Olson       |
| 1973-07-07 20:24:30 | Marsden     | Richardson  |
| 1960-06-19 21:53:02 | Taylor      | Harrell     |
| 1950-09-26 21:40:05 | Simone      | Kelly       |
| 1986-11-04 20:53:03 | Ariana      | Ray         |
| 1955-09-08 20:39:45 | Kalia       | Wade        |
| 1964-06-03 21:54:29 | Yen         | Blanchard   |
| 1964-07-02 20:11:29 | Stacy       | Munoz       |
| 1970-05-10 20:01:40 | Marah       | Savage      |
| 1970-06-23 20:40:03 | Declan      | Parks       |
| 1954-01-16 20:05:33 | Felicia     | Walls       |
| 1984-11-03 20:09:20 | Idola       | Kelley      |
| 1984-12-01 20:47:31 | Victoria    | Patel       |
| 1980-05-20 21:46:45 | Rudyard     | Perkins     |
| 1984-12-03 20:15:31 | Honorato    | Head        |
| 1955-08-26 20:50:54 | Fletcher    | Decker      |
| 1967-08-04 21:59:09 | Lars        | Mason       |
| 1994-03-20 20:51:46 | Lesley      | Cotton      |
| 1952-11-02 20:16:34 | Michelle    | Morris      |
| 1954-01-13 21:38:51 | Hector      | Conrad      |
| 1988-11-09 21:22:23 | Isaac       | Farmer      |
| 1988-10-01 20:52:04 | Orson       | Hull        |
| 1983-07-08 20:36:20 | Hayfa       | Fulton      |
| 1999-01-18 20:57:30 | Marcia      | Merrill     |
| 1952-04-08 20:50:53 | Colleen     | Downs       |
| 1984-10-10 21:28:28 | Mechelle    | Oliver      |
| 1969-12-09 20:17:39 | Amal        | Cooke       |
| 1961-06-12 21:32:42 | Glenna      | Burgess     |
| 1999-03-12 21:14:25 | Caryn       | Silva       |
| 1986-11-17 21:23:29 | Clarke      | Gill        |
| 2000-04-23 20:17:17 | Cherokee    | Fischer     |
| 1952-11-03 21:11:24 | Pascale     | Duncan      |
| 1986-12-08 20:36:49 | Valentine   | Nolan       |
| 1977-07-21 21:26:39 | Zephr       | Gonzales    |
| 1973-01-30 20:59:17 | Karly       | Williams    |
| 1990-06-23 21:30:02 | Wyoming     | Guerra      |
| 1997-08-21 21:07:58 | Adele       | Pierce      |
| 1997-11-21 20:25:23 | Tanisha     | Russell     |
| 1984-01-24 20:08:06 | Cruz        | Combs       |
| 1968-09-03 21:48:24 | Carl        | Goodwin     |
| 1948-06-11 20:43:07 | Zeph        | Bowman      |
| 1987-09-14 20:23:10 | Martha      | Francis     |
| 1975-08-06 20:52:28 | Kessie      | Richards    |
| 1955-09-17 20:25:28 | Aurelia     | Gamble      |
