SELECT REVERSE(content), subtype FROM Phone
+---------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| subtype | CONCAT(
CONCAT_WS('-',
RIGHT(content, 1), 
REVERSE(SUBSTRING(content, LENGTH(content)-3, 3)),
REVERSE(SUBSTRING(content, 7, 3)),
REVERSE(SUBSTRING(content, LENGTH(content)-11, 3)) ),
SUBSTRING(content, 1, 1) 
) |
+---------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| fax     | 0-985-887-3291                                                                                                                                                                                                     |
| fax     | 8-463-076-8331                                                                                                                                                                                                     |
| fax     | 6-650-768-7521                                                                                                                                                                                                     |
| fax     | 6-978-598-6341                                                                                                                                                                                                     |
| fax     | 0-729-008-9881                                                                                                                                                                                                     |
| fax     | 0-514-836-3031                                                                                                                                                                                                     |
| fax     | 4-588-858-6251                                                                                                                                                                                                     |
| fax     | 1-068-727-0251                                                                                                                                                                                                     |
| fax     | 5-856-774-5971                                                                                                                                                                                                     |
| fax     | 8-988-174-2621                                                                                                                                                                                                     |
| fax     | 7-845-439-3121                                                                                                                                                                                                     |
| fax     | 2-663-623-9161                                                                                                                                                                                                     |
| fax     | 1-359-667-8951                                                                                                                                                                                                     |
| fax     | 7-982-547-6821                                                                                                                                                                                                     |
| fax     | 8-162-099-1181                                                                                                                                                                                                     |
| fax     | 2-993-294-0141                                                                                                                                                                                                     |
| fax     | 7-306-571-9671                                                                                                                                                                                                     |
| fax     | 1-111-391-6331                                                                                                                                                                                                     |
| fax     | 0-253-751-6111                                                                                                                                                                                                     |
| fax     | 9-584-038-4291                                                                                                                                                                                                     |
| fax     | 0-327-808-0561                                                                                                                                                                                                     |
| fax     | 6-039-234-3781                                                                                                                                                                                                     |
| fax     | 1-124-718-1621                                                                                                                                                                                                     |
| fax     | 6-939-429-7481                                                                                                                                                                                                     |
| fax     | 8-208-357-5531                                                                                                                                                                                                     |
| fax     | 8-359-627-7831                                                                                                                                                                                                     |
| fax     | 7-088-243-5421                                                                                                                                                                                                     |
| fax     | 9-485-129-8141                                                                                                                                                                                                     |
| fax     | 1-558-406-5111                                                                                                                                                                                                     |
| fax     | 9-126-689-3391                                                                                                                                                                                                     |
| fax     | 7-425-322-3281                                                                                                                                                                                                     |
| fax     | 4-392-374-6041                                                                                                                                                                                                     |
| fax     | 4-304-389-1871                                                                                                                                                                                                     |
| fax     | 4-903-971-0381                                                                                                                                                                                                     |
| fax     | 1-589-891-6781                                                                                                                                                                                                     |
| fax     | 3-636-511-3341                                                                                                                                                                                                     |
| fax     | 5-836-355-3561                                                                                                                                                                                                     |
| fax     | 7-837-902-4761                                                                                                                                                                                                     |
| fax     | 3-218-632-1551                                                                                                                                                                                                     |
| fax     | 1-810-162-2061                                                                                                                                                                                                     |
| fax     | 2-895-273-7861                                                                                                                                                                                                     |
| fax     | 3-304-941-9461                                                                                                                                                                                                     |
| fax     | 2-529-916-6891                                                                                                                                                                                                     |
| fax     | 6-200-103-4031                                                                                                                                                                                                     |
| fax     | 6-076-058-0321                                                                                                                                                                                                     |
| fax     | 9-905-378-2171                                                                                                                                                                                                     |
| fax     | 6-749-178-7831                                                                                                                                                                                                     |
| fax     | 3-117-867-7011                                                                                                                                                                                                     |
| fax     | 8-011-234-5381                                                                                                                                                                                                     |
| fax     | 9-305-769-7041                                                                                                                                                                                                     |
| fax     | 0-221-879-4081                                                                                                                                                                                                     |
| fax     | 6-234-876-7331                                                                                                                                                                                                     |
| fax     | 9-085-519-0021                                                                                                                                                                                                     |
| fax     | 7-415-631-0991                                                                                                                                                                                                     |
| fax     | 3-976-639-5851                                                                                                                                                                                                     |
| fax     | 7-841-707-4291                                                                                                                                                                                                     |
| fax     | 8-067-623-1841                                                                                                                                                                                                     |
| fax     | 1-050-422-8531                                                                                                                                                                                                     |
| fax     | 2-394-865-3961                                                                                                                                                                                                     |
| fax     | 4-329-408-4941                                                                                                                                                                                                     |
+---------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
